name,N,chi2,chi2N
CamB,9,4.5309730328836455,0.5034414480981828
D512-2,4,0.30554327278719295,0.07638581819679824
D564-8,6,1.4565634886853056,0.24276058144755094
D631-7,16,5.265548929116287,0.32909680806976793
DDO064,14,4.056325314761723,0.2897375224829802
DDO154,12,6.948345409531494,0.5790287841276245
DDO161,31,118.95788077930462,3.8373509928807943
DDO168,10,1.2916051907487642,0.1291605190748764
DDO170,8,18.817098114140425,2.352137264267553
ESO079-G014,15,689.7201802981242,45.98134535320828
ESO116-G012,15,64.40628912351386,4.293752608234257
ESO444-G084,7,18.910660306299274,2.701522900899896
ESO563-G021,30,3344.0038506989185,111.46679502329728
F561-1,6,150.2923474999669,25.048724583327814
F563-1,17,14.372122196700616,0.845418952747095
F563-V1,6,42.924227724996925,7.154037954166154
F563-V2,10,11.47218908417727,1.147218908417727
F565-V2,7,2.188971350410066,0.3127101929157237
F567-2,5,30.38887665527394,6.077775331054788
F568-1,12,17.944029911247576,1.495335825937298
F568-3,18,92.51446071057914,5.139692261698841
F568-V1,15,13.629480051951752,0.9086320034634502
F571-8,13,266.0450302990831,20.465002330698702
F571-V1,7,21.753290830173455,3.107612975739065
F574-1,14,88.62016371735511,6.330011694096794
F574-2,5,96.88391369171889,19.376782738343778
F579-V1,14,147.45228496987997,10.53230606927714
F583-1,25,27.962199967442892,1.1184879986977156
F583-4,12,24.310233848842532,2.0258528207368776
IC2574,34,79.21152468121522,2.3297507259180947
IC4202,32,5177.9217655662305,161.8100551739447
KK98-251,15,0.1645902002139572,0.010972680014263814
NGC0024,29,20.60297230030657,0.7104473207002265
NGC0055,21,388.4794870791419,18.499023194244852
NGC0100,21,77.8546448923191,3.7073640424913856
NGC0247,26,336.75109226397404,12.951965087075925
NGC0289,28,1835.6575988275258,65.55919995812592
NGC0300,25,63.24413545238515,2.529765418095406
NGC0801,13,2333.9430349144322,179.53407960880247
NGC0891,18,4454.151358405518,247.45285324475103
NGC1003,36,538.9978341772712,14.972162060479755
NGC1090,24,3011.772118089223,125.4905049203843
NGC1705,14,22.12963741477117,1.5806883867693693
NGC2366,26,9.294908997099828,0.35749649988845494
NGC2403,73,1085.111776753894,14.864544887039644
NGC2683,11,1183.5992661760624,107.59993328873294
NGC2841,50,3741.741628789813,74.83483257579627
NGC2903,34,4119.387074082291,121.15844335536151
NGC2915,30,59.74964536872238,1.9916548456240795
NGC2955,24,5280.916865286207,220.03820272025862
NGC2976,27,47.106054015130674,1.744668667227062
NGC2998,13,1349.7255633837092,103.8250433372084
NGC3109,25,20.69226991394131,0.8276907965576524
NGC3198,43,2188.100118975011,50.88604927848863
NGC3521,41,3172.3921440947834,77.37541814865325
NGC3726,12,1992.2131954784295,166.01776628986912
NGC3741,21,31.887725890453137,1.5184631376406255
NGC3769,12,538.9235275216315,44.91029396013596
NGC3877,13,1900.013401794879,146.15487706114453
NGC3893,10,963.3977689412186,96.33977689412185
NGC3917,17,789.3961233522671,46.43506607954512
NGC3949,7,479.16581520362905,68.45225931480415
NGC3953,8,1697.987497731232,212.248437216404
NGC3972,10,236.84377330367653,23.684377330367653
NGC3992,9,1332.6554994675316,148.0728332741702
NGC4010,12,489.45086137251093,40.78757178104258
