name,N,chi2,chi2N
CamB,9,33.16588385296729,3.6850982058852546
D512-2,4,5.053433447220077,1.2633583618050193
D564-8,6,5.44202782467252,0.90700463744542
D631-7,16,23.772716153708874,1.4857947596068046
DDO064,14,4.458170191883999,0.31844072799171425
DDO154,12,4.728236281859814,0.39401969015498445
DDO161,31,101.2892519899283,3.2673952254815584
DDO168,10,8.178200924555494,0.8178200924555494
DDO170,8,17.06212988091263,2.1327662351140786
ESO079-G014,15,30.174126284700435,2.011608418980029
ESO116-G012,15,9.152432372223554,0.6101621581482369
ESO444-G084,7,2.8736961206656875,0.41052801723795534
ESO563-G021,30,78.52637765900846,2.617545921966949
F561-1,6,70.19902502884983,11.699837504808306
F563-1,17,8.289365177427081,0.48760971631924005
F563-V1,6,54.94786767328216,9.157977945547026
F563-V2,10,5.718463382559992,0.5718463382559993
F565-V2,7,0.866157355011649,0.12373676500166415
F567-2,5,22.816598341956876,4.563319668391375
F568-1,12,9.727727985169773,0.8106439987641477
F568-3,18,16.247907231684266,0.9026615128713481
F568-V1,15,9.078031737958856,0.6052021158639237
F571-8,13,120.02642927425778,9.232802251865984
F571-V1,7,6.757363617287205,0.9653376596124579
F574-1,14,8.212285860765304,0.5865918471975217
F574-2,5,64.8628556439387,12.97257112878774
F579-V1,14,11.086808003693825,0.7919148574067018
F583-1,25,9.861007995025124,0.39444031980100497
F583-4,12,17.427059010829357,1.452254917569113
IC2574,34,97.77840977652036,2.8758355816623635
IC4202,32,224.7303634041475,7.02282385637961
KK98-251,15,21.20300358350273,1.4135335722335154
NGC0024,29,5.593016154879011,0.19286262603031074
NGC0055,21,85.5970705952466,4.076050980726029
NGC0100,21,38.706978023628096,1.843189429696576
NGC0247,26,37.288735651882064,1.4341821404570025
NGC0289,28,147.08039366570122,5.252871202346472
NGC0300,25,13.480377715431489,0.5392151086172595
NGC0801,13,173.3411731796897,13.333936398437668
NGC0891,18,279.69155647172954,15.538419803984974
NGC1003,36,88.97867457990233,2.4716298494417313
NGC1090,24,189.24710707555448,7.885296128148103
NGC1705,14,4.788788431538847,0.34205631653848906
NGC2366,26,41.76647504727203,1.6064028864335396
NGC2403,73,132.17057543358834,1.8105558278573746
NGC2683,11,61.41344764650855,5.583040695137141
NGC2841,50,4.035135038334459,0.08070270076668917
NGC2903,34,448.30089403373154,13.185320412756809
NGC2915,30,39.01888369954167,1.300629456651389
NGC2955,24,185.230133071893,7.717922211328875
NGC2976,27,64.51073879551448,2.389286622056092
NGC2998,13,49.21070711803003,3.785439009079233
NGC3109,25,3.562544780772066,0.14250179123088264
NGC3198,43,171.73746199879778,3.9938944650883204
NGC3521,41,269.59923867819646,6.575591187273084
NGC3726,12,146.33222208667502,12.194351840556251
NGC3741,21,2.895081544898459,0.13786102594754568
NGC3769,12,70.23377838946624,5.8528148657888535
NGC3877,13,137.75555092387978,10.596580840298445
NGC3893,10,44.226544653015786,4.422654465301578
NGC3917,17,45.6043331550248,2.6826078326485177
NGC3949,7,58.14667754408621,8.306668220583743
NGC3953,8,53.30726480840005,6.663408101050006
NGC3972,10,17.529475777127534,1.7529475777127534
NGC3992,9,22.112424956089622,2.45693610623218
NGC4010,12,58.69343789820528,4.89111982485044
NGC4013,36,225.69164500191332,6.269212361164259
NGC4051,7,84.24754497897071,12.035363568424387
NGC4068,6,13.882994311091268,2.313832385181878
NGC4085,7,93.99542302803825,13.427917575434035
NGC4088,12,249.66396329461685,20.805330274551405
NGC4100,24,76.76938874867339,3.1987245311947246
NGC4138,7,22.53104059429021,3.2187200848986017
NGC4157,17,173.98944228032758,10.234673075313387
NGC4183,23,56.13447689409673,2.440629430178119
NGC4214,14,3.554391258062234,0.25388508986158814
NGC4217,19,358.5121191625702,18.869058903293165
NGC4389,6,205.6542698936485,34.27571164894142
NGC4559,32,227.3658504368201,7.105182826150628
NGC5005,18,88.12240333413273,4.895689074118485
NGC5033,22,85.90123383413543,3.9046015379152466
NGC5055,28,442.204863228034,15.793030829572643
NGC5371,19,329.84509356561983,17.360268082401046
NGC5585,24,66.41799712313738,2.767416546797391
NGC5907,19,95.52433267230927,5.02759645643733
NGC5985,33,24.26061958355009,0.7351702904106088
NGC6015,44,78.3536036325389,1.7807637189213388
NGC6195,23,237.2392012862839,10.314747882012343
NGC6503,31,82.99486415024889,2.6772536822660933
NGC6674,15,21.992870319581712,1.4661913546387808
NGC6789,4,2.388588743020131,0.5971471857550328
NGC6946,58,479.4550549090921,8.266466463949865
NGC7331,36,510.59840656355505,14.183289071209863
NGC7793,46,96.85097782507978,2.1054560396756474
NGC7814,18,22.108622379887667,1.228256798882648
PGC51017,6,36.74288894477779,6.1238148241296315
UGC00128,22,24.833378824999485,1.1287899465908857
UGC00191,9,5.885264591481979,0.6539182879424421
UGC00634,4,2.2188969515233286,0.5547242378808321
UGC00731,12,7.052697782831114,0.5877248152359261
UGC00891,5,5.354527592773771,1.0709055185547542
