name,N,chi2,chi2N
CamB,8,4.666792815003449,0.5833491018754311
D564-8,6,1.383249186545533,0.23054153109092215
D631-7,16,5.2461868468377215,0.3278866779273576
DDO064,13,3.607434034776121,0.2774949257520093
DDO154,12,6.738068063290164,0.561505671940847
DDO161,31,122.62812820971111,3.9557460712810033
DDO168,9,1.2263130456538927,0.13625700507265473
DDO170,8,19.61855977717218,2.4523199721465225
ESO079-G014,13,725.4893029123305,55.80686945479465
ESO116-G012,14,70.62546732048891,5.04467623717778
ESO444-G084,7,18.600653629365922,2.6572362327665604
ESO563-G021,27,3293.0382063585557,121.96437801327984
F561-1,6,155.3896687957424,25.898278132623734
F563-1,17,14.66345054082384,0.8625559141661082
F563-V1,6,44.402704257121904,7.400450709520317
F563-V2,9,11.40361329512721,1.2670681439030234
F565-V2,7,2.080242677964071,0.29717752542343867
F567-2,5,31.820460702797007,6.364092140559402
F568-1,10,18.98141823934445,1.898141823934445
F568-3,16,97.60403612896346,6.100252258060216
F568-V1,14,13.94494116345728,0.9960672259612343
F571-8,12,270.5137057074659,22.54280880895549
F571-V1,7,23.82765301975062,3.403950431392946
F574-1,12,96.23294233973581,8.01941186164465
F574-2,5,100.44138004296173,20.088276008592345
F579-V1,13,152.9989137880314,11.769147214463953
F583-1,23,28.18264660656601,1.225332461155044
F583-4,10,26.010063307251933,2.6010063307251934
IC2574,33,84.35423827026456,2.5561890384928656
IC4202,30,5062.224146813036,168.74080489376786
KK98-251,14,0.16510193356791542,0.0117929952548511
NGC0024,27,20.806642816738183,0.7706164006199328
NGC0055,19,404.46176652633926,21.28746139612312
NGC0100,20,83.3094194342718,4.1654709717135905
NGC0247,25,360.5034769197486,14.420139076789944
NGC0289,28,1915.0856849691884,68.39591732032815
NGC0300,25,69.5297003009876,2.781188012039504
NGC0801,13,2430.027063679064,186.9251587445434
NGC0891,18,4553.549050126709,252.9749472292616
NGC1003,36,575.4985195728718,15.986069988135329
NGC1090,22,3098.558567953065,140.84357127059386
NGC1705,14,20.83948806008365,1.4885348614345464
NGC2366,25,10.017128641253393,0.40068514565013574
NGC2403,71,1171.1509282673592,16.495083496723367
NGC2683,11,1211.594525431359,110.14495685739627
NGC2841,50,3922.1721665246814,78.44344333049362
NGC2903,33,4083.275208095909,123.7356123665427
NGC2915,30,56.41777217151212,1.8805924057170706
NGC2955,23,5349.137651725545,232.57120224893674
NGC2976,25,50.34165668957121,2.0136662675828485
NGC2998,11,1394.5030140110644,126.77300127373313
NGC3109,24,19.686922307126302,0.8202884294635959
NGC3198,41,2272.9996986559127,55.439017040388116
NGC3521,40,3280.371896212547,82.00929740531367
NGC3726,12,2061.040193089668,171.75334942413897
NGC3741,21,31.291533883359378,1.4900730420647323
NGC3769,12,568.6732655108509,47.38943879257091
NGC3877,12,1911.1554833005277,159.26295694171066
NGC3893,10,1003.6130963986756,100.36130963986756
NGC3917,16,823.6874383824647,51.480464898904046
NGC3949,7,486.7855362290742,69.54079088986774
NGC3953,8,1742.5651447588,217.82064309485
NGC3972,10,250.4080622015231,25.040806220152312
NGC3992,9,1388.8238164759148,154.31375738621276
NGC4010,11,508.8746319923122,46.26133018111929
NGC4013,36,5412.145926862814,150.3373868573004
NGC4051,7,1143.5719989455106,163.36742842078723
NGC4068,5,1.2960340454998047,0.25920680909996097
NGC4085,7,454.69887952209984,64.9569827888714
NGC4088,12,3533.862403637202,294.4885336364335
NGC4100,24,2605.0665331690566,108.54443888204402
NGC4138,7,435.4607578067987,62.20867968668553
NGC4157,17,3329.4278350842224,195.84869618142486
NGC4183,22,689.4664967228946,31.339386214677027
NGC4214,14,4.876713088387519,0.3483366491705371
NGC4217,18,3617.1492788149035,200.95273771193908
NGC4389,6,598.4087161771774,99.73478602952957
NGC4559,32,2225.7271635423767,69.55397386069927
NGC5005,17,1897.5089592045842,111.61817407085789
NGC5033,22,2267.6091821745167,103.07314464429622
NGC5055,28,5365.94189269309,191.6407818818961
NGC5371,18,6195.1423021762885,344.1745723431271
NGC5585,21,137.3253304567869,6.539301450323186
NGC5907,19,3116.1992000682444,164.01048421411812
NGC5985,33,2830.833523655657,85.78283405017142
NGC6015,43,2088.5709919395113,48.57141841719794
NGC6195,21,6762.101270985828,322.00482242789656
NGC6503,31,865.5024281086812,27.919433164796168
NGC6674,15,1332.220238883539,88.81468259223593
NGC6946,56,8457.670789306403,151.02983552332861
NGC7331,36,10483.296860455595,291.202690568211
NGC7793,37,370.2666523033318,10.007206819008967
NGC7814,17,1363.4992510318737,80.20583829599256
PGC51017,6,9.824511526987312,1.6374185878312186
UGC00128,21,216.6699265469577,10.317615549855129
UGC00191,8,23.996449539107154,2.999556192388394
UGC00731,12,33.231198100032884,2.7692665083360737
UGC00891,5,0.4449718845426664,0.08899437690853328
UGC01230,10,75.98776254310692,7.5987762543106925
UGC01281,23,4.2797605039937725,0.18607654365190315
UGC02023,5,5.647876207401383,1.1295752414802767
UGC02259,8,11.654382470470296,1.456797808808787
UGC02455,8,256.99707965542825,32.12463495692853
UGC02487,17,1691.7292144547532,99.51348320322077
UGC02885,18,2524.281218989836,140.23784549943534
UGC02916,39,5731.936114039748,146.97272087281405
UGC02953,104,11944.907471115515,114.85487952995688
UGC03205,45,5065.046400286163,112.55658667302583
UGC03546,30,3112.6242107137555,103.75414035712518
UGC03580,44,1718.4621663120079,39.055958325272904
UGC04278,22,13.6337881782537,0.6197176444660774
UGC04305,21,163.09294613025264,7.766330768107268
UGC04325,8,14.44028205511126,1.8050352568889074
UGC04483,8,1.6235768797957166,0.20294710997446458
UGC04499,9,30.237772837307304,3.3597525374785895
UGC05005,11,70.7770147615425,6.434274069231137
UGC05253,63,6633.317069313345,105.29074713195786
UGC05414,6,4.650243488679918,0.7750405814466531
UGC05716,12,9.909021013001452,0.8257517510834543
UGC05721,22,30.637269926006617,1.3926031784548463
UGC05750,10,42.646113930361395,4.264611393036139
UGC05764,10,25.49366065458294,2.549366065458294
UGC05829,11,12.447990911517973,1.1316355374107248
UGC05918,8,3.7118066728487493,0.46397583410609367
UGC05986,15,57.71724925244231,3.8478166168294874
UGC05999,5,58.43738490713329,11.68747698142666
UGC06399,9,17.674376384206717,1.9638195982451907
UGC06446,17,21.199770516028927,1.2470453244722899
UGC06614,13,1858.515176538121,142.96270588754777
UGC06628,7,127.38473157064472,18.197818795806388
UGC06667,8,20.482284110007097,2.560285513750887
UGC06786,41,2431.167243461775,59.296762035653046
UGC06787,63,4570.219894996535,72.54317293645293
UGC06818,8,24.530122141850462,3.066265267731308
UGC06917,11,141.49298394966033,12.86299854087821
UGC06923,6,32.75793852313486,5.459656420522477
UGC06930,10,265.91245343064946,26.591245343064948
UGC06973,9,1442.5543864473666,160.28382071637407
UGC06983,17,155.75866110966325,9.162274182921367
UGC07089,12,120.11860000606617,10.009883333838848
UGC07125,13,268.36644130826954,20.643572408328428
UGC07151,11,27.005071551712895,2.4550065047011724
UGC07261,7,13.421229708637375,1.9173185298053392
UGC07323,9,80.13744227839841,8.904160253155379
UGC07399,10,23.949042773892735,2.3949042773892737
UGC07524,27,179.64811306562063,6.6536338172452085
UGC07559,7,0.245506396049612,0.03507234229280171
UGC07577,9,1.4439469309965802,0.16043854788850892
UGC07603,12,7.449429854188148,0.6207858211823457
UGC07608,8,8.995316379691175,1.124414547461397
UGC07690,7,4.20392897148148,0.6005612816402114
UGC07866,7,0.11586539848937541,0.016552199784196486
UGC08286,17,11.157226812973384,0.6563074595866697
UGC08490,30,4.483311433715434,0.14944371445718113
UGC08550,11,4.684460912092041,0.42586008291745825
UGC08699,36,2550.2549113085356,70.84041420301487
UGC08837,8,8.667038388355936,1.083379798544492
UGC09037,22,3957.889640049817,179.90407454771895
